 region                                  model                                                              sku   limit   used  available  unit
 swedencentral                   gpt4.1-nano-finetune                       OpenAI.GlobalStandard.gpt4.1-nano-finetune     500      0        500 Count
 swedencentral                   gpt4.1-nano-finetune                             OpenAI.Standard.gpt4.1-nano-finetune     500      0        500 Count
 swedencentral                   gpt4.1-nano-finetune                        OpenAI.DeveloperTier.gpt4.1-nano-finetune     500      0        500 Count
 swedencentral                            gpt4.1-mini                                OpenAI.GlobalStandard.gpt4.1-mini    5000      0       5000 Count
 swedencentral                            gpt4.1-mini                                      OpenAI.Standard.gpt4.1-mini    5120    120       5000 Count
 swedencentral                           gpt-4.1-mini                                  OpenAI.GlobalBatch.gpt-4.1-mini 1000000      0    1000000 Count
 swedencentral                            gpt4.1-mini                              OpenAI.DataZoneStandard.gpt4.1-mini    2000      0       2000 Count
 swedencentral                            gpt4.1-nano                                OpenAI.GlobalStandard.gpt4.1-nano    5000      0       5000 Count
 swedencentral                            gpt4.1-nano                              OpenAI.DataZoneStandard.gpt4.1-nano    2000      0       2000 Count
 swedencentral                                gpt-4.1                                       OpenAI.GlobalBatch.gpt-4.1  200000      0     200000 Count
 swedencentral                                gpt-4.1                                     OpenAI.DataZoneBatch.gpt-4.1   30000      0      30000 Count
 swedencentral                           gpt-4.1-nano                                  OpenAI.GlobalBatch.gpt-4.1-nano  200000      0     200000 Count
 swedencentral                           gpt-4.1-mini                                OpenAI.DataZoneBatch.gpt-4.1-mini  100000      0     100000 Count
 swedencentral                           gpt-4.1-nano                                OpenAI.DataZoneBatch.gpt-4.1-nano   30000      0      30000 Count
 swedencentral                            gpt-image-1                                OpenAI.GlobalStandard.gpt-image-1       3      0          3 Count
 swedencentral                       gpt-image-1-mini                           OpenAI.GlobalStandard.gpt-image-1-mini       4      0          4 Count
 swedencentral                                  gpt-5                                      OpenAI.GlobalStandard.gpt-5    1000    504        496 Count
 swedencentral                             gpt-5-chat                                 OpenAI.GlobalStandard.gpt-5-chat    1000      0       1000 Count
 swedencentral                             gpt-5-mini                                 OpenAI.GlobalStandard.gpt-5-mini    1000      0       1000 Count
 swedencentral                             gpt-5-nano                                 OpenAI.GlobalStandard.gpt-5-nano    5000      0       5000 Count
 swedencentral                                  gpt-5                                    OpenAI.DataZoneStandard.gpt-5     300      0        300 Count
 swedencentral                             gpt-5-mini                               OpenAI.DataZoneStandard.gpt-5-mini     300    300          0 Count
 swedencentral                             gpt-5-nano                               OpenAI.DataZoneStandard.gpt-5-nano    2000      0       2000 Count
 swedencentral                              gpt-5-pro                                  OpenAI.GlobalStandard.gpt-5-pro     160      0        160 Count
 swedencentral                                  gpt-5                                         OpenAI.GlobalBatch.gpt-5  200000      0     200000 Count
 swedencentral                              gpt-audio                                  OpenAI.GlobalStandard.gpt-audio   30000      0      30000 Count
 swedencentral                           gpt-realtime                               OpenAI.GlobalStandard.gpt-realtime      10      0         10 Count
 swedencentral                            gpt-5-codex                                OpenAI.GlobalStandard.gpt-5-codex    1000      0       1000 Count
 swedencentral                         gpt-audio-mini                             OpenAI.GlobalStandard.gpt-audio-mini      20      0         20 Count
 swedencentral                      gpt-realtime-mini                          OpenAI.GlobalStandard.gpt-realtime-mini      20      0         20 Count
 swedencentral              gpt-4o-transcribe-diarize                  OpenAI.GlobalStandard.gpt-4o-transcribe-diarize     400      0        400 Count
 swedencentral                           gpt-5.1-chat                               OpenAI.GlobalStandard.gpt-5.1-chat    1000      0       1000 Count
 swedencentral                                gpt-5.1                                    OpenAI.GlobalStandard.gpt-5.1    1000      0       1000 Count
 swedencentral                                gpt-5.1                                  OpenAI.DataZoneStandard.gpt-5.1     300      0        300 Count
 swedencentral                     gpt-5.1-codex-mini                         OpenAI.GlobalStandard.gpt-5.1-codex-mini    1000      0       1000 Count
 swedencentral                          gpt-5.1-codex                              OpenAI.GlobalStandard.gpt-5.1-codex    1000      0       1000 Count
 swedencentral                           AccountCount                                       AIServices.S0.AccountCount     100      1         99 Count
 swedencentral                                   MaaS                                   AIServices.GlobalStandard.MaaS     600      0        600 Count
 swedencentral                  Ministral-3B-finetune                  AIServices.GlobalStandard.Ministral-3B-finetune    1000      0       1000 Count
 swedencentral                            DeepSeek-R1                            AIServices.GlobalStandard.DeepSeek-R1    1000      0       1000 Count
 swedencentral                       DeepSeek-R1-0528                       AIServices.GlobalStandard.DeepSeek-R1-0528    1000      0       1000 Count
 swedencentral                       DeepSeek-V3-0324                       AIServices.GlobalStandard.DeepSeek-V3-0324    1000      0       1000 Count
 swedencentral                          DeepSeek-V3.1                          AIServices.GlobalStandard.DeepSeek-V3.1    1000      0       1000 Count
 swedencentral Llama-4-Maverick-17B-128E-Instruct-FP8 AIServices.GlobalStandard.Llama-4-Maverick-17B-128E-Instruct-FP8     250      0        250 Count
 swedencentral                 Llama-3.3-70B-Instruct                 AIServices.GlobalStandard.Llama-3.3-70B-Instruct     250      0        250 Count
 swedencentral                       Cohere-Command-A                       AIServices.GlobalStandard.Cohere-Command-A     100      0        100 Count
 swedencentral                            Embed-V-4-0                            AIServices.GlobalStandard.Embed-V-4-0     100      0        100 Count
 swedencentral                           gpt-oss-120b                           AIServices.GlobalStandard.gpt-oss-120b    5000      0       5000 Count
 swedencentral                              MAI-DS-R1                              AIServices.GlobalStandard.MAI-DS-R1    1000      0       1000 Count
 swedencentral                           FLUX-1.1-pro                           AIServices.GlobalStandard.FLUX-1.1-pro      30      0         30 Count
 swedencentral                           FLUX-1.1-pro                         AIServices.DataZoneStandard.FLUX-1.1-pro      30      0         30 Count
 swedencentral                     FLUX.1-Kontext-pro                     AIServices.GlobalStandard.FLUX.1-Kontext-pro      30      0         30 Count
 swedencentral                     FLUX.1-Kontext-pro                   AIServices.DataZoneStandard.FLUX.1-Kontext-pro      30      0         30 Count
 swedencentral               mistral-document-ai-2505               AIServices.GlobalStandard.mistral-document-ai-2505      60      0         60 Count
 swedencentral               mistral-document-ai-2505             AIServices.DataZoneStandard.mistral-document-ai-2505      60      0         60 Count
 swedencentral                                 grok-3                                 AIServices.GlobalStandard.grok-3    1000      0       1000 Count
 swedencentral                            grok-3-mini                            AIServices.GlobalStandard.grok-3-mini    1000      0       1000 Count
 swedencentral                  grok-4-fast-reasoning                  AIServices.GlobalStandard.grok-4-fast-reasoning    1000      0       1000 Count
 swedencentral              grok-4-fast-non-reasoning              AIServices.GlobalStandard.grok-4-fast-non-reasoning    1000      0       1000 Count
 swedencentral                      claude-sonnet-4-5                      AIServices.GlobalStandard.claude-sonnet-4-5    1000      0       1000 Count
